                                                                                                                                                                                                                                                                 24 Oct 2016 22:31:35
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-CubeSat


      Time (UTCG)          Lat (deg)    Lon (deg)     Alt (km)     x/Magnitude    y/Magnitude    z/Magnitude    B Field - Body x (nT)    B Field - Body y (nT)    B Field - Body z (nT)    yaw (deg)    pitch (deg)    roll (deg)        q1           q2           q3           q4   
-----------------------    ---------    ---------    ----------    -----------    -----------    -----------    ---------------------    ---------------------    ---------------------    ---------    -----------    ----------    ---------    ---------    ---------    ---------
2 Oct 2016 17:00:00.000        0.000       93.159    500.000000      -0.151907      -0.081351       0.985041               2.370e+004              -2.013e+004              -1.024e+004      128.400          3.159        90.000    -0.233584    -0.666807     0.231477     0.668750
2 Oct 2016 17:01:00.000        3.002       95.273    500.058185      -0.086206      -0.081401       0.992946               2.432e+004              -2.031e+004              -6.283e+003      128.186          5.266        92.996    -0.225784    -0.688650     0.239090     0.646234
2 Oct 2016 17:02:00.000        5.998       97.399    500.231705      -0.020125      -0.081451       0.996474               2.462e+004              -2.045e+004              -2.248e+003      127.875          7.359        96.011    -0.217737    -0.709733     0.246442     0.623006
2 Oct 2016 17:03:00.000        8.984       99.551    500.517475       0.046043      -0.081500       0.995609               2.462e+004              -2.054e+004               1.793e+003      127.463          9.434        99.053    -0.209450    -0.730033     0.253522     0.599090
2 Oct 2016 17:04:00.000       11.953      101.743    500.910413       0.112008      -0.081550       0.990355               2.433e+004              -2.060e+004               5.776e+003      126.951         11.488       102.128    -0.200934    -0.749527     0.260324     0.574514
2 Oct 2016 17:05:00.000       14.900      103.988    501.403535       0.177479      -0.081600       0.980736               2.377e+004              -2.062e+004               9.645e+003      126.335         13.514       105.244    -0.192196    -0.768195     0.266840     0.549303
2 Oct 2016 17:06:00.000       17.818      106.301    501.988084       0.242167      -0.081650       0.966793               2.296e+004              -2.062e+004               1.335e+004      125.613         15.508       108.408    -0.183248    -0.786015     0.273063     0.523486
2 Oct 2016 17:07:00.000       20.701      108.698    502.653683       0.305786      -0.081700       0.948588               2.192e+004              -2.059e+004               1.683e+004      124.782         17.465       111.627    -0.174098    -0.802967     0.278986     0.497092
2 Oct 2016 17:08:00.000       23.540      111.196    503.388527       0.368057      -0.081750       0.926202               2.070e+004              -2.053e+004               2.006e+004      123.840         19.378       114.908    -0.164757    -0.819034     0.284603     0.470149
2 Oct 2016 17:09:00.000       26.328      113.813    504.179595       0.428705      -0.081800       0.899734               1.931e+004              -2.044e+004               2.300e+004      122.783         21.243       118.259    -0.155235    -0.834197     0.289906     0.442688
2 Oct 2016 17:10:00.000       29.054      116.569    505.012883       0.487463      -0.081850       0.869299               1.780e+004              -2.033e+004               2.561e+004      121.608         23.052       121.686    -0.145542    -0.848439     0.294892     0.414738
2 Oct 2016 17:11:00.000       31.708      119.485    505.873655       0.544071      -0.081900       0.835032               1.621e+004              -2.018e+004               2.788e+004      120.312         24.799       125.196    -0.135690    -0.861746     0.299553     0.386330
2 Oct 2016 17:12:00.000       34.278      122.582    506.746704       0.598281      -0.081950       0.797085               1.458e+004              -2.001e+004               2.981e+004      118.892         26.478       128.795    -0.125688    -0.874101     0.303885     0.357496
2 Oct 2016 17:13:00.000       36.750      125.885    507.616625       0.649852      -0.082001       0.755624               1.296e+004              -1.981e+004               3.141e+004      117.346         28.081       132.488    -0.115548    -0.885492     0.307884     0.328268
