Time (UTCG),Lat (deg),Lon (deg),Alt (km),x/Magnitude,y/Magnitude,z/Magnitude,x (nT),y (nT),z (nT),x (deg/sec),y (deg/sec),z (deg/sec),q1,q2,q3,q4
22 Mar 2013 16:39:21.1,31.924,-65.1,555.946002,-0.19364,0.288038,-0.937837,10663.48,-5183.62,33035.77,1.213259,-0.801357,0.743095,0.553544,-0.176774,-0.741231,0.336031
22 Mar 2013 16:39:21.2,31.918,-65.102,555.94393,-0.194579,0.286303,-0.938173,10697.05,-5123.1,33031.64,1.213053,-0.801237,0.74318,0.553266,-0.178153,-0.741212,0.335802
22 Mar 2013 16:39:21.3,31.912,-65.103,555.941859,-0.195521,0.28457,-0.938505,10730.68,-5062.64,33027.34,1.212847,-0.801117,0.743266,0.552987,-0.179531,-0.741192,0.335572
22 Mar 2013 16:39:21.4,31.906,-65.105,555.939787,-0.196465,0.282837,-0.938831,10764.39,-5002.24,33022.86,1.212641,-0.800996,0.743351,0.552707,-0.180908,-0.74117,0.335342
22 Mar 2013 16:39:21.5,31.9,-65.107,555.937716,-0.197412,0.281106,-0.939153,10798.16,-4941.89,33018.21,1.212436,-0.800874,0.743436,0.552426,-0.182285,-0.741147,0.335111
22 Mar 2013 16:39:21.6,31.893,-65.108,555.935645,-0.198361,0.279375,-0.939469,10832.01,-4881.61,33013.37,1.212231,-0.800752,0.743521,0.552144,-0.183662,-0.741122,0.334879
22 Mar 2013 16:39:21.7,31.887,-65.11,555.933575,-0.199313,0.277645,-0.939781,10865.92,-4821.39,33008.36,1.212027,-0.80063,0.743607,0.55186,-0.185038,-0.741095,0.334648
22 Mar 2013 16:39:21.8,31.881,-65.111,555.931504,-0.200267,0.275916,-0.940087,10899.91,-4761.22,33003.17,1.211822,-0.800507,0.743692,0.551576,-0.186413,-0.741067,0.334415
22 Mar 2013 16:39:21.9,31.875,-65.113,555.929434,-0.201224,0.274188,-0.940388,10933.96,-4701.12,32997.81,1.211618,-0.800384,0.743777,0.55129,-0.187788,-0.741037,0.334183
22 Mar 2013 16:39:22.0,31.869,-65.114,555.927364,-0.202183,0.272461,-0.940684,10968.08,-4641.08,32992.27,1.211415,-0.80026,0.743862,0.551004,-0.189163,-0.741006,0.333949
22 Mar 2013 16:39:22.1,31.862,-65.116,555.925294,-0.203144,0.270735,-0.940975,11002.27,-4581.11,32986.55,1.211211,-0.800136,0.743947,0.550716,-0.190537,-0.740974,0.333715
